195977	R Kendall	Zambia		10/22/1971	RM Bailey & DJ Stewart *	Z195977	seine	Lamprologus	-8.7598380000000002	Lake Tanganyika at Mpulungu Harbor	Spec. #2A   *1974	31.111028999999998	Africa	EtOH - 1	Spec. #2A   *1974	66 mm SL	cunningtoni				
195978	R Kendall	Zambia		5/29/1972	RM Bailey & DJ Stewart *	Z195978	seine	Lamprologus	-8.7598380000000002	Lake Tanganyika, Mpulungu Harbor	* 1974	31.111028999999998	Africa	EtOH - 6	* 1974	75-110 mm SL	fasciatus				
195979	R Kendall	Zambia		5/31/1972	RM Bailey & DJ Stewart *	Z195979	seine	Lamprologus	-8.7607839999999992	Lake Tanganyika, GRZ Fisheries Jetty, at Mpulungu	Spec. #1A   *1974	31.109390999999999	Africa	EtOH - 5	Spec. #1A   *1974	58-101 mm SL	fasciatus				
195980	R Kendall	Zambia		9/7/1972	RM Bailey & DJ Stewart *	Z195980	gill net	Lamprologus		Lake Tanganyika, Mwela	Spec. #3   * 1974		Africa	EtOH - 1	Spec. #3   * 1974	70 mm SL	lemairei				
195981	R Kendall	Zambia		11/16/1972	RM Bailey & DJ Stewart *	Z195981	gill net	Lamprologus	-8.6942310000000003	Lake Tanganyika, NW of Mutondwe Island	Spec. #1  * 1974	31.109629000000002	Africa	EtOH - 2	Spec. #1  * 1974	142, 152 mm SL	lemairei				
195982	R Kendall	Zambia		11/16/1972	RM Bailey & DJ Stewart *	Z195982	gill net	Lamprologus	-8.6942310000000003	Lake Tanganyika, NW of Mutondwe Island	Spec. #2   *1974	31.109629000000002	Africa	EtOH - 1	Spec. #2   *1974	162 mm SL	lemairei				
195983	R Lemelin	Zambia		11/16/1972	RM Bailey & DJ Stewart, *	Z195983	gill net	Lamprologus	-8.6942310000000003	Lake Tanganyika, NW of Mutondwe Island	*1974	31.109629000000002	Africa	EtOH - 5	*1974	146-215 mm SL	profundicola				
195984	R Kendall	Zambia		5/29/1972	RM Bailey & DJ Stewart *	Z195984	seine	Lamprologus	-8.7598380000000002	Lake Tanganyika, Mpulungu Harbor	* 1974	31.111028999999998	Africa	EtOH - 10	* 1974	67-79 mm SL	tetracanthus				
195985	R Kendall	Zambia		10/22/1971	RM Bailey & DJ Stewart *	Z195985	seine	Lamprologus	-8.7598380000000002	Lake Tanganyika, Mpulungu Harbor	* 1974	31.111028999999998	Africa	EtOH - 7	* 1974	50-78 mm SL	tetracanthus				
196015	R Kendall	Zambia		5/31/1972	RM Bailey & DJ Stewart *	Z196015	seine	Lamprologus	-8.7607839999999992	Lake Tanganyika, GRZ Fisheries Jetty at Mpulungu	* 1974	31.109390999999999	Africa	EtOH - 3	* 1974	40-80 mm SL	tetracanthus				
196133	DJ Stewart (tank reared)	Burundi			DJ Stewart, 1973	Z196133		Lamprologus		Lake Tanganyika, (pres. origin) - F(1) generation = tank reared;  parents - wild stock, Ontogenetic series - 2 eggs	These spec. were incl. in Acc. 1971-X: 4 by DJ Stewart, who reared them himself.		Africa	EtOH - 22	These spec. were incl. in Acc. 1971-X: 4 by DJ Stewart, who reared them himself.	4-30 mm SL	brichardi				
196134	DJ Stewart	Burundi			DJ Stewart, 1972	Z196134		Lamprologus		Lake Tanganyika, (Parental stock) - tank reared by DJ Stewart	These spec. were incl. in Acc. 1971-X: 4 by DJ Stewart, who reared them himself.  (1 week & 1 month)		Africa	EtOH - 6	These spec. were incl. in Acc. 1971-X: 4 by DJ Stewart, who reared them himself.  (1 week & 1 month)	3-11 mm SL	brichardi				
196135	R Lemelin	Burundi			DJ Stewart, 1974	Z196135		Lamprologus		Lake Tanganyika - Aquarium Fish - wild stock	1 C&S by J Sparks, 1999;		Africa	EtOH - 6; C&S - 1	1 C&S by J Sparks, 1999;	43-62 mm SL	brichardi				
196136	R Lemelin	Zambia			DJ Stewart, 1971	Z196136		Lamprologus		Lake Tanganyika, Republic of Zaire, Congo - (prob. origin - Wild Stock, Aquarium stock, Ann Arbor Pet Shop, 1971)	From shipment of Nanochromis nudiceps.		Africa	EtOH - 4	From shipment of Nanochromis nudiceps.	47-65 mm SL	mocquardi				
196137	R Lemelin	Zambia			RM Bailey & DJ Stewart, *	Z196137		Lamprologus		Lake Tanganyika  (pres. origin) - Aquarium Fish - Wild stock	*1972		Africa	EtOH - 2	*1972	82, 84 mm SL	modestus				
196138	R Lemelin	Burundi			RM Bailey & DJ Stewart	Z196138		Lamprologus		Lake Tanganyika, Aquarium Fish - Wild Stock	Specimens found dried out on shelf; May, 2002.		Africa	EtOH - 3	Specimens found dried out on shelf; May, 2002.	57-67 mm SL	savoryi				
196140	R Lemelin	Burundi			DJ Stewart, 1974	Z196140		Lamprologus		Lake Tanganyika - Aquarium Fish - wild stock			Africa	C&S - 1			brichardi				
196141	R Lemelin	Burundi			DJ Stewart	Z196141		Lamprologus		Lake Tanganyika, Aquarium Fish - Wild Stock			Africa	C&S - 1			savoryi				
196162	DJ Stewart	Burundi			DJ Stewart, 1974	DJS73-2	SCUBA, rotenone	Lamprologus		Lake Tanganyika between Mutumba & Magara among rocks			Africa	EtOH - 12		20-62 mm SL	brichardi				
196163	P Brichard	Zaire			DJ Stewart, 1974	Z196163		Lamprologus		Prob. from Rep. du Zaire near Luhanga, ca 15 km S of Uvira			Africa	EtOH - 3		58-63 mm SL	leleupi				
196164	DJ Stewart	Burundi			DJ Stewart, 1974	DJS73-2	SCUBA, rotenone	Lamprologus		Lake Tanganyika between Mutumba & Magara among rocks			Africa	EtOH - 12		9-64 mm SL	savoryi				
196165	DJ Stewart	Burundi			DJ Stewart, 1973	DJS73-2	SCUBA, rotenone	Lamprologus		Lake Tanganyika between Mutumba & Magara among rocks			Africa	EtOH - 9		24-35 mm SL	schreyeni				
199766	RM Bailey & RL Kendall	Zambia		11/2/1970	RM Bailey & DJ Stewart, *	RMB70-33	gill nets	Lamprologus		Lake Tanganyika, N side of N Kumbula Island, 2 km N of Mpulungu; Congo drainage	*1971		Africa	EtOH - 9	*1971	96-129 mm SL	callipterus	Northern		1700-1230	
199767	RM Bailey & RL Kendall	Zambia		11/2/1970	RM Bailey & DJ Stewart, *	RMB70-33	gill nets	Lamprologus		Lake Tanganyika, N side of N Kumbula Island, 2 km N of Mpulungu; Congo drainage	*1971		Africa	EtOH - 1	*1971	77 mm SL	compressiceps	Northern		1700-1230	
199768	RM Bailey & RL Kendall	Zambia		11/2/1970	RM Bailey & DJ Stewart	RMB70-33	gill nets	Lamprologus		Lake Tanganyika, N side of N Kumbula Island, 2 km N of Mpulungu; Congo drainage			Africa	EtOH - 13; C&S - 1		116-160 mm SL	elongatus	Northern		1700-1230	
