donor,recipient,m,time.from.root.donor,time.from.root.recipient
Nicotiana_sylvestris,Nicotiana_tabacum,0.5,8.6802,8.6802
Nicotiana_undulata,Nicotiana_rustica,0.5,7.5753,7.5753
Nicotiana_arentsii,Nicotiana_rustica,0.5,7.5753,7.5753
Nicotiana_wigandioides,Nicotiana_arentsii,0.5,8.3995,8.3995
